Sentence,Emotion
ㅋㅋ 산체스 일류는 마인드부터가 다르네,2
 역사는 역시 긴 호흡으로 봐야되는거여.,2
생각해보면 김태균도 은근 혜자네...,3
넥센 히어로즈여 고맙다 고마워....,3
안그래도 개똥 이미지 나라 아주 말아먹는구나,1
당연하지 근데 그이상의 가치가 있기에 결혼을 하는거지,2
바쁜. . 벌꿀은. . 애국심을. . 느낄새도 없습니다,2
내앞에 떨어지게 해주세요,2
잘생긴 얼굴에 좋은 성격에 훌륭한 연기력까지 ㅜㅜ,3
오~~특검 잘하고 있네요~~강도를 열배 정도 업해도 될듯요~~오랫만에 박수를 오랫만에 보냅니다~~,3
제가 아직 요리 초보인데 백주부님의 방송을 보면 저같은 학생들도 쉽게 보고 따라할수 있어요,3
이미 생각읽는시대는 와있다.,2
그냥 빨간색 아이폰케이스를 끼겠다,2
짱개 폰 품질이 엄청 후짐...,0
2년간 고마웠고 딸도 건강해지길 바랄게요!,3
비온다고 또 떠들어재껴봐,0
야 보검아 벌써재밌다 ㅋㅋㅋㅋㅋㅋ,3
까마귀도 이쁘던데 왜 혐오라 그러는지 모르겠다.,2
정부가 국민연금 돈 떼먹으려고 별 쌩쇼를 다 하네...,0
그래 씨 발 나 삼수하고 고깃집에서 알바한다,0
박영선 위원 정말 사이다입니다.. 멋지십니다.,3
오늘은 예디 귀빠진날 !,3
감추고 숨기고 거짓말 어휴. . .,2
아니지. 건국 이래 최대 사기는 최순실 국정농단이지.,0
기상청은 빨리 해 띄우세요~!!!!!!,2
그러는 기자양반은 얼마나 기부하시나?,2
이런게 뉴스라니. . 이게 나라냐?,0
수고하셨습니다 당신은 최선을 다 했어요,3
" 혼자서는 어느 결정도 내리지 못하고, 국민들의 세금으로 고산병 예방한다는 명목으로 어디에 썼는지 모르는 비아그라나 사는.",0
진짜 지금이라도 민족반역자 새끼들 잡아다 재산몰수하고 단두대에서 모가지 날려버려야된다,0
 고민이 되고 그러네요..,1
귓방맹이를 한대 쳐 갈기고싶은 분 손?,0
포켓몬고 대박 ㅋㅋ,3
예쁜사람이 생각보다 별루없었네요ㅠㅠㅠㅠ,1
추울 땐 쉬어야지 아니면 푹 자두고 일 가는 게 좋다,2
ㅋㅋㅋ 개발자들 갈아서 게임 만들기로 악명높은 곳이라 별 기대 안될 듯,2
다들 어떻게 사시나요?ㅠㅠ,1
종신형 때려 !!,0
왕건.전두환이 광주전라도 왜싫어했을까!,2
  연습하느라 넘어지고 힘들었을텐데 너무 멋지게 경기에 임해주셔서 보는사람에게  감동을 안겨다준것 같네요,3
 게다가 곧있으면 생일!!,3
순천 춘천에 이어 성주까지. 대한민국 보수의 정기가 흐르는 땅 ㅋ,2
나지완! 난 너랑 함께할께^^ 모두 널 주목하지않고 있지만 움츠려들지말고 어깨펴!! 내년에 어디서든 활활 날아보자^^,3
"정말 고맙습니다 , 기자님 화이팅,",3
"뻔뻔한것들,,. 하나같이 똑같네.",0
돈으로도 해결이 안되는구나. 있을때 지켜야지,0
연기잘하시드라구여.ㅈ,3
이거 안바꾸면 어떻게 되요?,2
 자기 인생을 정말 열심히 살아가는 것 같아요.,3
 이런기사 볼때마다 같은 인간으로서 그저 미안할 뿐이다..,1
빼고 다 내스탈이야넌 내꼬♥♥♥,3
 진짜 ㅇ재용 영원히감방속에서 썩아라,0
 정말 너무너무 태어나줘서 고맙고 항상 건강해야되요 ㅠㅠㅠ,3
우리 결혼했어요,2
현실에선 유시진같은 구조는 없습니다...,2
 친구가..ㅋㅋㅋㅋㅋ,3
이뻐 아주 이뻐....,3
 쑈그만 하고 정유라 잡아들여라,0
취소 확정되면 기사써라,2
이지은은 살부터 빼고 들어와야할듯,2
방귀만 꼈다 싶으면 죽을 정도로 고통 스러운데...,1
경기력 개암이다ㅋㅋㅋㅋㅋ,0
근데 거기서 피팅 금지였어ㅠ,1
호불호야 갈리겠지만 디자인 개선은 많이 필요해 보이네요,2
멋있어 외모도 액션도 거기에 연기까지 엄지척,3
나라를 좀먹는 암덩어리들 ㅡㅡㅡㅡㅡ,0
그건 니 생각이고,0
이거 좋은 아이디어네요^^,3
최순실년은 고문을 허용해서 자백을 받은다음 할복으로 죄값을 치르게 해야한다,0
우병우 10년이상 징역 매기고 재산 다 국가에 받히게해라,0
여자친구가 있는 남자인 친구와카페에 갔는데 계산해주시는 캐셔분이 여자가봐도 정말 이쁘셨거든요.,1
백주부님 화이팅~~^^,3
다시한번 사과드립니다,1
국민은 일류인데 윗대가리들은 삼류인 나라,0
무도 결방을 양보할수 읍어여ㅎㅎ,2
류준열 너무 좋아 .....,3
"준재가 청이의 마음 속 말을 들을 수 있어서모든 기억이 돌아 오는 상황연출, 표현하는 이민호 대박이었슴",3
보면 볼수록 무당처럼 생겼다,2
너무귀엽고깜찍하셨어요,3
촛불들고 나가지 그래,2
어제 어버이연합 일당받는거 기자한테 딱걸림ㅋㅋ,2
자기관리 철저한 김재중 의지가 약해서 실패하는 일인으로 존경스럽습니다.,3
헌재를 믿고 기다리고 있는것 뿐인데..,1
무한도전 최고 유느님최고 엑소최고 오늘너무재밌었어요!!!!!!! 대박,3
오빠 신인때 야구 하는 모습을 보구 야구를 좋아하게 되었어여,3
 진짜 남자든 여자든 사람마음 확신하는거 만큼 비참함은 없더라구요,1
특검에서 삼성 쪼으는건 결국엔 박통을 향해 칼날은 겨누는거.,2
경찰이 지켜야할건 저 악마가 아니라 국민이다!!,0
로드리게스랑 서벨리랑 멋있다,3
"김기춘, 우병우도 조사해라 .. 법앞에 평등",0
박근혜가 당한걸로 몰고가지마라. 구속시키자. 꼭 그날이 올거다,0
괜히 빛의 마술사라는 소리 듣는게 아닌듯 ㅋㅋㅋㅋ,2
스톤스 브라보가 다 해먹음,2
최순실이는 진짜 무죄가 거의 확실..,0
엘지는 은성 천웅 형종 석환 강남 상우가 제대로 풀타임뛰어야지,2
 오늘은 화요일이네요!!,3
아...윤균상이라니...이건 정말 신의 한수예요!!,3
요새는 바지 입고 다니냐??ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
단통법은 사라져야하고 초딩들은 댓글못쓰게 해야한다,0
sns에 광복절날 일본 관광사진 올리는것들아정신차려.. 815가 무슨날인지알고 일본 사진쳐올리냐,0
여기서 주절주절 하고 있는 제가 너무 한심하네요 ..,1
☆6년만에 인피니트 '남우현' 솔로앨범이 나왔어요.,3
욱일기보다는 전범기라는 명칭이 더 적합하다.,0
그래서 언제 하는데요?? ...검나 좋구나!!!,3
미국 아직 9월 10일인데요,2
돈성 스크 놋때 이참에 제발 대기업 무너트리자!! 돈이 정의를 이기게 가만둘수는 없다,0
항상 응원하고 있습니다~~^^,3
다파해쳐라.끝까지.,0
캐릭터에 대한 연기를 너무 잘하신다!,3
수많았던 일제 침략시 일본인들이 우리나라 사람들을 저렇게 했겠지ㅜ,1
얼른 북괴정권이 무너지고 통일이 이루어지면 미국에 저런 똘i이들이 개짖는 소릴 못하지?,0
타자는 거럭저럭한데 투수는 진짜 내 인생에서 한국망친경기볼듯,2
다이어트 같이하실 키작녀 20대 직장인분들. .. 같이 살빼요? ...154-58 ...,1
조폭보다 더 나쁜년,0
정말 태후에서 유시진 연기는 최고였다!!대상 축하합니다~~,3
어이고 쉬바 욕이 먼저 나온다,0
노답 노답 나이값 조또못하는 어버이 연합,0
그럼 KBO수준은 어느 정도인건가???,2
최순실 ㅇㅇㅇ해봐,0
기자 선동질 하는거보소 와,0
특검 연장하라!!!! 연장하라!!!! 다 쓸어냅시다,0
지금은 할말도없고..,1
기사를 다 읽게 하는 멋진 기자 !! 화이팅,3
이런 개 족같은 냔이~~~ 당장 사형시켜,0
운전병은 엄청 편하다던데ㅜ.ㅜ,1
그래서 배터리 만든 중국회사 탓으로 다 떠넘기네 ㄷㄷ,0
각얼음물려놓고뺨한대만치고싶다,2
아베는 한국에 사과하로 안오나...,0
이 형은 아스날 마지막 시즌이 제일 멋있었음,2
그래 택시비좀 내립시다!ㅋㅋ,2
고독을 잘 이해 해주던 연인도 결혼과 동시 가족이 된다는걸 명심해라....,2
개헌해야 대통령 임기 단축이 아니라 특검 받고 진짜 죄가 있다면 대통령에서 물러났으니까 형사소추하면 되구요,0
빅5중에 3명잡아도 한화보다 지출액적음,0
이불황에 수입 짭짤하겠네,1
 솔직히 미칠 것 같애요.,1
나혼자 아프고만다 왜 자식들에게 저런 더러운꼴을 보게 한단말이냐새누리당=>새우리당,1
잘됬어요~~~!!^^축하 축하!!!,3
소스 빼돌려서 짝퉁 쭝도우 이런거만드는거아냐?,0
 어떡하죠 하 죽을까요,1
미란다커 남친이네,2
" 올해 중3되는데,공부에 집중을 진짜못하겠어요",1
맥그리거 쇼맨쉽은 최고네 굿!!,3
"용병 승수 빼버리면 두산보다 위다!!. 용병타자까지 더 하면 두산보다 +10은 했을거다,.",0
아... 야구 몰라요...,1
외국인한테 땅파는건 법으로 규제해야한다!!!,0
한편 옆집에선 증언 그전날 앰버 허드는 밖을 잘 다니다 다음날 검은 선글라스 끼고 다녔다며 팔에 멍 자국을 물어보니 어딘가 부딪혀 멍이 들었다며 옆집 역시 의심을 했다며,2
차인 저만 이렇게 아플까요,1
그래 김종민하나줘야지 축하합니다,3
블리자드감사합니다^^,3
연예인분들 악플심하게달고다니는 범죄자들은 바로바로 고소부탁드립니다,0
빌비오 은근히 바르샤 잘잡음,2
뭔 기사를 봐도 이것도 최순실이 한건가 싶음,2
이러려구 사귀나보다 ㅜㅜ,3
김경문 믿음의 야구는 개뿔,0
아무리 사극왕 이라고 해도 이번엔 김명민보다 별로일듯..,1
진정한 금메달은 당신입니다.,3
응 우리나라는 79시간까지 하겠지,2
최고 어제 가요대전 무대 잘 봤습니다 진짜 최고,3
난왜이렇게되어야했을까,1
나 여드름 많았었는데 지금은 깨끗해졌고 아이크림한번 안발랏는데 30대인 지금도 잔주름 찾아볼수없지롱ㅋㅋ,3
범죄국가로 선포하고 외교단절해라,0
헐~ 이게 2016년???????,2
하하 방금 버스타고 집에 가고있는데 너무힘들어요ㅠ,1
김민희는 배우생활 끝낫지뭐,2
당신을기억할꺼예요,3
이전에 kt에 캐치캐치랑 비슷한건가,2
진심 매국노친일파쪽바리같은년이네..,0
우린 오늘 끝날 삘인데 ㅋㅋㅋㅋ,3
가족은 건드리지 말자,0
티파니가 친일파일줄이야...,0
미친 인맥새기들 축협니들때문에 한국축구가 이모양인거다,0
  감사하고 고맙습니다.,3
그것이 효도인듯^^,3
사장님 존경합니다,3
왜 난 트럼프얼굴만보면 웃기짘ㅋㅋㅋㅋ개그맨같음 말하는거랑 생김새가ㅠ,2
보통 데이트하는 연인들 보면 여자들이 남자 팔에 안겨있던데 ㅋㅋㅋ;,1
닭때문에 억울한 고양이들이 죽었네..,1
"예디,예누자이,예원언니생일을축하드립니다!",3
사귄지 70일 조금 넘었는데 오늘 남자친구 입대했어요,1
악개고 자시고 블락비팬은아닌데 그냥 지코 박경 나오는게 지코한테도 득일듯,2
나 어릴적 포켓몬 향수를 이딴걸로 망치고있다,2
 헬스 사업관련자분들이나 남자분들은죄송합니다,1
국민으로써 얼굴에 미소짖는 소식 감사합니다,3
너무 오버하는 것 같기도...,0
특검 고생많으십니다...화이팅 !!!!,3
피곤하당,1
빌게이츠회장은 여기서도 일등먹네요.참 대단한 인물..,3
아니 아무리해도 안되고해서 포기하고 3년이 훌러네요..,1
속도 막 울렁울렁 거리고 그래요.,1
어제 자기전만해도 18등이였는데 지금 4등이나 올랐어요 !,3
나도 밥이안넘어가더라..,1
나이스~!!!!!!!!,3
그 손님 테라 켜놓고 곤히 주무실 뿐이고...오늘 진상손님한테 피박써서 15마넌 물어줬을 뿐이고...,1
유재석 오라버니 해피투게더 보는 날이네요,3
나오든 못나오든 아스날이 이깁니다,2
자멸을 자초하는 것 같아요.,2
제발 답변좀요 ㅠㅠ0,1
내가 선택하고 저지른 일인데 오빠가 차가울때마다 너무 힘드네요,1
젊은세대에게는 헬조선늙은세대에게는 지옥조선.,0
말은자고로 함부로 하면 부메랑 되어 다시 돌아오지......,2
 토욜날도퇴근시간똑같구요ㅠㅠ,1
뭘 드시길래 힘이 장사시네..,2
인간 쓰레기 박지원 같은 색기들이 왜 이렇게 많으냐,0
연예인이라도 기본은 하자 제발.. 하..,2
문학인들은 겁나 안꾸밈 꾸미는 사람들을 거의 못본듯,2
 살로 웃기는건 한계가 있잖아요,1
수능 망쳤다고 곧바로 사회불만자가 되지말고 더욱 노력하라.,2
범죄와의전쟁도 재미있었는데 국가대표도 그렇고 역시믿고보는배우라고 너무끼가많아요,3
안하면 또다시 뒤쳐지는 느낌 일듯,2
미국에서 뭐 꺼내는시늉 하면 총맞는다는거는 외국인인 나도 아는 상식인데 흑형 판단미스,2
 그렇게 좋은 목소리로 노래를 불로 주셔서 감사합니다ㅎㅎ,3
근데 장난없이 눈뜨고 눈감기전까지 하루종일생각나요,1
스페셜~~ 봐도 봐도 또보고 싶음~~♡,3
요즘 몸도 아프고 돈나갈때도 많아지고안그래도 힘든데 날씨까지 추워지니 지치네요,1
산소 호흡기 떼고 운명하셨습니다,1
북극에 얼음이 녹고있는데 불난곳에 부채질하냐?!,0
미얀마 또 가고싶다...사람들 착하고 순박하다..,3
 친일파가 괜히 나오는 말이 아니다.,0
언제적 장동건이냐...,2
잊으려고 노력하진 않는건가잊혀지질 않는건가..,1
머리도 긴편인데 큰얼굴 때문에 길어 보이지도 않고ㅠㅠ,1
여러분 다들 아형 본방사수합시다,3
미국 대학생들 과반수가 요가 바지 패션,2
잠자코 탄핵심판이나 당하시오,0
베이비페어 할때 사면 엄청 싸더라구요..,3
아니 왜 달의 연인 댓글을 왜 여기다 쓰고 ㅈI 랄이야,0
 아프리카 난민을 돕는 게 낫겠다.,2
안추워서 좋긴한데 걱정된다..,1
아니 그것보다그녀가 귀찮아 할까봐안되겠습니다..,1
너무 괴롭다.,1
 이건 관심병을 넘어 거의 정신병 수준인데....,2
남들 다이기고 첼시만 한번더져도 2점차로 1위독보적인대ㅎㅎ,3
야구선수는 실력으로 보여주면 된다 ㅎㅎ,2
심지어 작가도 아름답구나,3
머머리아재들 희소식 노벨상감,3
점점 일자리는 없어지는구나.,1
여자삼청교육대를 만들어 보내야한다,0
노대통령도 살아계셔서 함께 했으면 더욱 기뻤을텐데...,1
어떻게 하면 300억을 모을까?,1
견찰이 하는짓이 그러치 괜히 견찰이냐,0
솔직하고 귀엽네ㅋ 볼수록 매력있다ㅎ,3
잼난다.. ㅎㅎ,3
법원도 이번 사건은 참을수 없었나보네,2
 진짜 어제 오빠 목소리 들어보니깐 구래도 좀 좋아진 것 같고 컨디션도 완전 좋아보여서 완전 완전 다행이예요 ㅎㅎ,3
아시아놈들 다시 먹힐려고 단체로작정했네 ㅉㅉ,0
감사합니다 조의연판사님 당신덕에 아직 대한민국은 정의가 살아있는듯 합니다 (꾸벅),3
응팔나온 배우들 다무명에서 순식간에 스타덤에 오른거 사실인데 라미란은 최고.,3
좋은 레시피 감사합니다.,3
저번주는 내내 된장찌개 생각나게 하더니 요번엔 볶음밥이랑 계란국 ㅠㅠ,1
미래가 암담하다,1
이번에도 무고죄로 밝혀지면 확실히 구속시켜라,0
더러운 박그네의 추악한 진실이 나오는구나,3
 어떻게 해야될까요 ㅠㅠ,1
요리하는데 많은 도움받고있어요~,3
민아때문에 2달동안 행복했어요,3
공민왕 후손인가 ㅋㅋ,3
연기가 진짜 예술이었어요,3
못생긴애들좀 살자 ㅠㅠ,1
 안좋은일은 어쩌면 이렇게한꺼번에 일어나는지...ㅠ,1
(저렇게 조금만먹으면 건강에안좋은거아는데 급하게빼야할상황이라서요ㅜㅠ,1
혼자삽니다....,2
박보검 얼굴 몸 미쳤다 ㅠㅠ,3
보우덴 올해 마지막 경기인데 좀 더 던져도 되지머,2
 그게 어려워서 이러고 있습니다,1
어뜨케해야 잘하는거죠...0,1
 오해가있엇다고 미안하다고 하니까그넘도 자기도 그짓하고난후 존나후회했다고 하더라고요 ㅋㅋ;;,1
 파해법은 비오늘날 진흙.......,2
"새해에는 박근혜, 그 이름좀 안들었음 좋겠다!",0
저게 저인간 참모습이다.,2
이재용 햄스터 닮았네 왜웃으면서나오지?,0
그럼 이제 다컷으니 안녕~~,2
오늘 너무재밌었다 ㅠㅜㅜㅜㅜ!♡♡!!,3
 정말 최고다...,3
넘치지도 모자라지도 않게 도깨비 케스팅 정말~ 잘 하신듯^^대박,3
최순실일가와 닭그네가 웃고 있겠다..,0
얼마를 해먹었는지 그걸 밝혀낼수는 있나?,2
하...플랜C는 병원행이겠구나,0
드디어 영화 제5원소같은 교통시대가 열리겠구만 ㅋㅋ,3
여배우 얼굴이 여주급은 아님,2
대통룐주변엔 죄다 쓰레기뿐이네,0
평일인데 출근안하고 뽕맞고잤다가 유력이냐??,0
이럴줄 알았다면 빚이라도 져서 대학갈걸 그랬나봐요...,1
JTBC 가 최고 가짜 조작 선동 뉴스죠,0
맛있는게 뭐가 있을까..,1
날씨추운데 뉴스거리 참 웁다. 웁써,0
마네 므키타리안 비교 있기전에 이미 클라인 다르미안 비교 있었네 ㅋㅋ,2
ㅡㅡ진짜 나라개망신시키네,0
기아팬으로도 이건 좀 아닌데... 그래도 이렇게 해서라도 내년 우승만 한다면 머~ 조치~~~ ㅎㅎ,3
아등바등사는것도 지친다.,1
물론 친구들이랑 사이가 나쁜편은 아니지만내 의지없이 꼭 학교에 가서 공부하는게정말 힘드네요..,1
 이런 새키를 뽑은 미국인들도 똑같이 쓰레기다,0
밥값못하는 상위1% 소득자인 국개들은 강제 정치 out시켜야 되는데 미국보다 많은 의원석으로 삼류정치나 하니ㅉ,0
발달장애든 뭐든 간에 사람을 죽였으니 사형해야 하는 것 아닌가?,0
사실 저게 쉽지 않은데 흉기가 있을수도있고 아무튼 용감하신분,3
어린이집 유치원 차량은 괜찮은데 학원차는 진짜 짜증나긴하더라,1
월욜 기다리는데 화가 나 미칠것 같아,0
나도 눈물 펑펑..ㅜㅠ,1
하이패스가 대표적이지요~,2
 호의가 계속되면 권리인줄안다고 군인이냐 노예냐,0
재밌고 늘 행복해진답니다,3
 첫 아가랏 걱정이 되네요..,1
이 분 낚시터에서 같이 사진 찍었었는데,3
내 아들도 재학생(군복무중)으로 자랑스럽내요,3
왜 정신병자들땜에 일반인들이 죽어야 하나,0
진짜 말도 안되지만 누가봐도 저런 명백한쓰 레기는 헌법에 족쳐도 좋다라는 문구하나 있었으면 좋겠다,0
해가 점점 지는 나라.,2
스텝이 너무 단조롭다. 코맥처럼 유연하게 움직이다가 꽂을땐 지금처럼 짧고 임팩트있게 하면 가드 안올려도 지금처럼 맞진않을거같다,2
사극의 한장면을 보는듯 하네요..,2
대보행자용으로 데시벨 적은 크락션 하나 달면 되잖아 ㅋㅋ,2
 오늘 잠은 못 잘 것 같네요,1
 마지막에 울컥할뻔ㅠㅠ,3
탄핵해주세요,0
하기야 윤창중도 돌아 다니긴 하더라,0
진짜 일본 침착성이랑 질서있는 건 배워야 해...,1
그런데 너무힘들다고 지친다고 하네요,1
진심다해 축하드립니다제가막 기쁜이유는 몰까요^^,3
손나은 첫 등장할때 너무 예뻤음,3
안가면 욕 엄청 먹겠네,1
혹사 아니라더만 권혁에 이어 송창식도 부상이군.......,2
"혜빈 씩씩하고 용기있어 좋다,",3
 많은걸 바라는건 아닌데..,1
겨울은 쥐다 한화야 쉬자,2
세번다시 저질스러운 지도자를 잘못 뽑아서 나라를 혼란시키지 맙시다,0
야구좀 한다고 100억정도준다니 세상참 더럽다,0
열심히 햇으니 받는게 당연하다.,2
개또라이 여폔네들 절대합의해주지 마세요,0
그네의 분노 그것은 자당의원들의 탄핵가결투표!,0
그래서인지 친구가 계산하면서 허둥대고 뭔가 떨려보여서ㅋㅋ,3
고맙다 새누리 잔챙이들.,3
우리에겐 모른다 5남매가 있다.,2
백선생님 덕분에 음식을 쉬게 접할 수 있고대충대충 했던 음식이 집밥 보면서 더 신경 쓰게 되고일주일이 기다려 진답니다.,3
안 써봤지만 안 써요.,2
입학취소뿐만아니라 깜빵을보내라,0
너와 좋은 인연이 됐으면 했었는데 상처만주고가버리는구나.,1
또 ㅈㄴ 가격뻥튀기하고 싸구려제품만들려고...,0
여기와서 쓸말은 아닌거 같지만 죄송하게도...,1
그냥 건강한 체질인 것 같아.,2
걍 희철이 하니가 난듯한데 아님말고,2
무도는 제게 참 소중한 프로예요!!감사합니다,3
스마트폰으로 뭔짓거리하길래?,2
팀당 한두명른 숭부조작하고 심판매수하는 팀도 있고 역시 코리아 제1의 인기스포츠,2
 속마음을모르겠어요,1
해낼줄 알았어요....,3
쓰레기언론사인 조선 중앙 동아 한겨레 SBS YTN 이 먼저 퇴진하면 안되겠니?,0
내교과서물려줘야겟네,2
웃음을 잃어버렸어요,1
왜 기상캐스터 보는맛에 뉴스보는데ㅋ 코디도 나름 잘 신경써서 나오고 앵커들 얼굴만보다 기상캐스터들 몸매감상하는거 얼마나 개꿀이냐. 유일하게 전신감상을 눈치 안보고 쳐다볼수 있는데 좋지아니한가~,3
하늘에서 쓰레기가 내려옵니다~~~,0
 그리고 맘아픈세월호를 정치적으로 아용해서 고인과 유가족을 두번죽이는 좌파들은 천벌을 받을거다!,0
단순히 운전하는 수고만 줄어드는게 아니구나.재밌게 잘 봤습니다~,3
징벌적 손해배상제도를 시행해야함,0
저게 내이버에 나올일인가?,0
난 재 교통사고로 죽었음 좋겠다 진짜,0
최순실 입안열면고문해야지주리를틀자,0
우리나라를 대체 뭘로 보는거야!!,0
탄핵에 문제되는 당은 해체될 각오 해라,0
선생님이 아니라 선생놈이 었네 쓰레기 교사.,0
 진짜 마음이 찢어지는데 유가족분들은 어떨까요.,1
모든 권력은 국민으로 부터 나온다.,2
저도 기쁘고 보람됩니다.,3
오 좋은 정보 감사 ㅋㅋ,3
뜨어 헤니하나로 눈이 너무 높아져버렸어ㅠ,2
난 오늘 쉐보레 트렉스디젤샀음!,3
다양이 그것이 알고싶다는 결방이 아니군!,3
넌 나 보고 싶지도 않나봐..,1
프랑스에 누가 갔을까 ㅋㅋㅋㅋ,2
순실이와 감옥 합방 쓰며 순실이 똥구녁이나 닦아주라.,0
박그네 일당들은 전부 머리에 똥이다!!!!!,0
수고하셨어요ㅠㅠ,3
 답답해 미치겠어여.0,1
 산자부 너희들 좀 정신 차려!!,0
한국 고령화 앞도적세계1위,2
아이고 의미없다~~~,2
그 이유는 여기 죽 댓글다는 놈들이 결혼도 안할거고 애도 안낳을거거든,2
이별을 얘기한지는 2주정도 됬나.,1
정말 무도는 초심 잃지 않는 대단한 프로그램 인 것 같다..,3
읽고 봐주셔서 감사합니다.,3
필 결국 떠나는구나그동안 고마웠고 고생했다,3
아 너무하네... 도깨비좀 행복해지자 ..ㅠㅜㅜ,1
맛있겠다 예뻐니까 못 먹긴 개뿔 더 맛있겠네,1
"미친, 고작 생각해낸 핑계가 기억못한다는 말이냐??!!",0
민주주의만세!,3
내일 밤 고속버스 타고 광주 내려갈 때 입으려는거 같은데.,2
삼성 갤럭시 노트 7 이용자들이 화가 많이 났다.,0
역도요정 김복주 진짜 내 인생 드라마......,3
학계에 의한 국정농단 개입이네...,2
 우리 헤어지자.,1
진해수 우투ㄱ ㅋㅋㅋㅋ,3
